SE_id,SE_type,lon,lat,node_id,group_id,location_type
10000501,xfc_150kW,-93.1,45.2,station_5,5,U
10000502,xfc_150kW,-93.1,45.2,station_5,5,U
10000503,xfc_150kW,-93.1,45.2,station_5,5,U
10000504,xfc_150kW,-93.1,45.2,station_5,5,U
10000505,xfc_150kW,-93.1,45.2,station_5,5,U
10000506,xfc_150kW,-93.1,45.2,station_5,5,U
10000507,xfc_150kW,-93.1,45.2,station_5,5,U
10000508,xfc_150kW,-93.1,45.2,station_5,5,U
10000901,xfc_150kW,-93.1,45.2,station_9,9,U
10000902,xfc_150kW,-93.1,45.2,station_9,9,U
10000903,xfc_150kW,-93.1,45.2,station_9,9,U
10000904,xfc_150kW,-93.1,45.2,station_9,9,U
10000905,xfc_150kW,-93.1,45.2,station_9,9,U
10000906,xfc_150kW,-93.1,45.2,station_9,9,U
10000907,xfc_150kW,-93.1,45.2,station_9,9,U
10000908,xfc_150kW,-93.1,45.2,station_9,9,U
10001201,xfc_150kW,-93.1,45.2,station_12,12,U
10001202,xfc_150kW,-93.1,45.2,station_12,12,U
10001203,xfc_150kW,-93.1,45.2,station_12,12,U
10001204,xfc_150kW,-93.1,45.2,station_12,12,U
10001205,xfc_150kW,-93.1,45.2,station_12,12,U
10001206,xfc_150kW,-93.1,45.2,station_12,12,U
10001207,xfc_150kW,-93.1,45.2,station_12,12,U
10001208,xfc_150kW,-93.1,45.2,station_12,12,U
10001301,xfc_150kW,-93.1,45.2,station_13,13,U
10001302,xfc_150kW,-93.1,45.2,station_13,13,U
10001303,xfc_150kW,-93.1,45.2,station_13,13,U
10001304,xfc_150kW,-93.1,45.2,station_13,13,U
10001305,xfc_150kW,-93.1,45.2,station_13,13,U
10001306,xfc_150kW,-93.1,45.2,station_13,13,U
10001307,xfc_150kW,-93.1,45.2,station_13,13,U
10001308,xfc_150kW,-93.1,45.2,station_13,13,U
10001401,xfc_150kW,-93.1,45.2,station_14,14,U
10001402,xfc_150kW,-93.1,45.2,station_14,14,U
10001403,xfc_150kW,-93.1,45.2,station_14,14,U
10001404,xfc_150kW,-93.1,45.2,station_14,14,U
10001405,xfc_150kW,-93.1,45.2,station_14,14,U
10001406,xfc_150kW,-93.1,45.2,station_14,14,U
10001407,xfc_150kW,-93.1,45.2,station_14,14,U
10001408,xfc_150kW,-93.1,45.2,station_14,14,U
10001501,xfc_150kW,-93.1,45.2,station_15,15,U
10001502,xfc_150kW,-93.1,45.2,station_15,15,U
10001503,xfc_150kW,-93.1,45.2,station_15,15,U
10001504,xfc_150kW,-93.1,45.2,station_15,15,U
10001505,xfc_150kW,-93.1,45.2,station_15,15,U
10001506,xfc_150kW,-93.1,45.2,station_15,15,U
10001507,xfc_150kW,-93.1,45.2,station_15,15,U
10001508,xfc_150kW,-93.1,45.2,station_15,15,U
10001601,xfc_150kW,-93.1,45.2,station_16,16,U
10001602,xfc_150kW,-93.1,45.2,station_16,16,U
10001603,xfc_150kW,-93.1,45.2,station_16,16,U
10001604,xfc_150kW,-93.1,45.2,station_16,16,U
10001605,xfc_150kW,-93.1,45.2,station_16,16,U
10001606,xfc_150kW,-93.1,45.2,station_16,16,U
10001607,xfc_150kW,-93.1,45.2,station_16,16,U
10001608,xfc_150kW,-93.1,45.2,station_16,16,U
10001801,xfc_150kW,-93.1,45.2,station_18,18,U
10001802,xfc_150kW,-93.1,45.2,station_18,18,U
10001803,xfc_150kW,-93.1,45.2,station_18,18,U
10001804,xfc_150kW,-93.1,45.2,station_18,18,U
10001805,xfc_150kW,-93.1,45.2,station_18,18,U
10001806,xfc_150kW,-93.1,45.2,station_18,18,U
10001807,xfc_150kW,-93.1,45.2,station_18,18,U
10001808,xfc_150kW,-93.1,45.2,station_18,18,U
10002001,xfc_150kW,-93.1,45.2,station_20,20,U
10002002,xfc_150kW,-93.1,45.2,station_20,20,U
10002003,xfc_150kW,-93.1,45.2,station_20,20,U
10002004,xfc_150kW,-93.1,45.2,station_20,20,U
10002005,xfc_150kW,-93.1,45.2,station_20,20,U
10002006,xfc_150kW,-93.1,45.2,station_20,20,U
10002007,xfc_150kW,-93.1,45.2,station_20,20,U
10002008,xfc_150kW,-93.1,45.2,station_20,20,U
10002101,xfc_150kW,-93.1,45.2,station_21,21,U
10002102,xfc_150kW,-93.1,45.2,station_21,21,U
10002103,xfc_150kW,-93.1,45.2,station_21,21,U
10002104,xfc_150kW,-93.1,45.2,station_21,21,U
10002105,xfc_150kW,-93.1,45.2,station_21,21,U
10002106,xfc_150kW,-93.1,45.2,station_21,21,U
10002107,xfc_150kW,-93.1,45.2,station_21,21,U
10002108,xfc_150kW,-93.1,45.2,station_21,21,U
10002201,xfc_150kW,-93.1,45.2,station_22,22,U
10002202,xfc_150kW,-93.1,45.2,station_22,22,U
10002203,xfc_150kW,-93.1,45.2,station_22,22,U
10002204,xfc_150kW,-93.1,45.2,station_22,22,U
10002205,xfc_150kW,-93.1,45.2,station_22,22,U
10002206,xfc_150kW,-93.1,45.2,station_22,22,U
10002207,xfc_150kW,-93.1,45.2,station_22,22,U
10002208,xfc_150kW,-93.1,45.2,station_22,22,U
10002301,xfc_150kW,-93.1,45.2,station_23,23,U
10002302,xfc_150kW,-93.1,45.2,station_23,23,U
10002303,xfc_150kW,-93.1,45.2,station_23,23,U
10002304,xfc_150kW,-93.1,45.2,station_23,23,U
10002305,xfc_150kW,-93.1,45.2,station_23,23,U
10002306,xfc_150kW,-93.1,45.2,station_23,23,U
10002307,xfc_150kW,-93.1,45.2,station_23,23,U
10002308,xfc_150kW,-93.1,45.2,station_23,23,U
10002601,xfc_150kW,-93.1,45.2,station_26,26,U
10002602,xfc_150kW,-93.1,45.2,station_26,26,U
10002603,xfc_150kW,-93.1,45.2,station_26,26,U
10002604,xfc_150kW,-93.1,45.2,station_26,26,U
10002605,xfc_150kW,-93.1,45.2,station_26,26,U
10002606,xfc_150kW,-93.1,45.2,station_26,26,U
10002607,xfc_150kW,-93.1,45.2,station_26,26,U
10002608,xfc_150kW,-93.1,45.2,station_26,26,U
10002801,xfc_150kW,-93.1,45.2,station_28,28,U
10002802,xfc_150kW,-93.1,45.2,station_28,28,U
10002803,xfc_150kW,-93.1,45.2,station_28,28,U
10002804,xfc_150kW,-93.1,45.2,station_28,28,U
10002805,xfc_150kW,-93.1,45.2,station_28,28,U
10002806,xfc_150kW,-93.1,45.2,station_28,28,U
10002807,xfc_150kW,-93.1,45.2,station_28,28,U
10002808,xfc_150kW,-93.1,45.2,station_28,28,U
10002901,xfc_150kW,-93.1,45.2,station_29,29,U
10002902,xfc_150kW,-93.1,45.2,station_29,29,U
10002903,xfc_150kW,-93.1,45.2,station_29,29,U
10002904,xfc_150kW,-93.1,45.2,station_29,29,U
10002905,xfc_150kW,-93.1,45.2,station_29,29,U
10002906,xfc_150kW,-93.1,45.2,station_29,29,U
10002907,xfc_150kW,-93.1,45.2,station_29,29,U
10002908,xfc_150kW,-93.1,45.2,station_29,29,U
10003101,xfc_150kW,-93.1,45.2,station_31,31,U
10003102,xfc_150kW,-93.1,45.2,station_31,31,U
10003103,xfc_150kW,-93.1,45.2,station_31,31,U
10003104,xfc_150kW,-93.1,45.2,station_31,31,U
10003105,xfc_150kW,-93.1,45.2,station_31,31,U
10003106,xfc_150kW,-93.1,45.2,station_31,31,U
10003107,xfc_150kW,-93.1,45.2,station_31,31,U
10003108,xfc_150kW,-93.1,45.2,station_31,31,U
10003201,xfc_150kW,-93.1,45.2,station_32,32,U
10003202,xfc_150kW,-93.1,45.2,station_32,32,U
10003203,xfc_150kW,-93.1,45.2,station_32,32,U
10003204,xfc_150kW,-93.1,45.2,station_32,32,U
10003205,xfc_150kW,-93.1,45.2,station_32,32,U
10003206,xfc_150kW,-93.1,45.2,station_32,32,U
10003207,xfc_150kW,-93.1,45.2,station_32,32,U
10003208,xfc_150kW,-93.1,45.2,station_32,32,U
10003209,xfc_150kW,-93.1,45.2,station_32,32,U
10003210,xfc_150kW,-93.1,45.2,station_32,32,U
10003211,xfc_150kW,-93.1,45.2,station_32,32,U
10003212,xfc_150kW,-93.1,45.2,station_32,32,U
10003301,xfc_150kW,-93.1,45.2,station_33,33,U
10003302,xfc_150kW,-93.1,45.2,station_33,33,U
10003303,xfc_150kW,-93.1,45.2,station_33,33,U
10003304,xfc_150kW,-93.1,45.2,station_33,33,U
10003305,xfc_150kW,-93.1,45.2,station_33,33,U
10003306,xfc_150kW,-93.1,45.2,station_33,33,U
10003307,xfc_150kW,-93.1,45.2,station_33,33,U
10003308,xfc_150kW,-93.1,45.2,station_33,33,U
10003309,xfc_150kW,-93.1,45.2,station_33,33,U
10003310,xfc_150kW,-93.1,45.2,station_33,33,U
10003311,xfc_150kW,-93.1,45.2,station_33,33,U
10003312,xfc_150kW,-93.1,45.2,station_33,33,U
10003401,xfc_150kW,-93.1,45.2,station_34,34,U
10003402,xfc_150kW,-93.1,45.2,station_34,34,U
10003403,xfc_150kW,-93.1,45.2,station_34,34,U
10003404,xfc_150kW,-93.1,45.2,station_34,34,U
10003405,xfc_150kW,-93.1,45.2,station_34,34,U
10003406,xfc_150kW,-93.1,45.2,station_34,34,U
10003407,xfc_150kW,-93.1,45.2,station_34,34,U
10003408,xfc_150kW,-93.1,45.2,station_34,34,U
10003701,xfc_150kW,-93.1,45.2,station_37,37,U
10003702,xfc_150kW,-93.1,45.2,station_37,37,U
10003703,xfc_150kW,-93.1,45.2,station_37,37,U
10003704,xfc_150kW,-93.1,45.2,station_37,37,U
10003705,xfc_150kW,-93.1,45.2,station_37,37,U
10003706,xfc_150kW,-93.1,45.2,station_37,37,U
10003707,xfc_150kW,-93.1,45.2,station_37,37,U
10003708,xfc_150kW,-93.1,45.2,station_37,37,U
10003901,xfc_150kW,-93.1,45.2,station_39,39,U
10003902,xfc_150kW,-93.1,45.2,station_39,39,U
10003903,xfc_150kW,-93.1,45.2,station_39,39,U
10003904,xfc_150kW,-93.1,45.2,station_39,39,U
10003905,xfc_150kW,-93.1,45.2,station_39,39,U
10003906,xfc_150kW,-93.1,45.2,station_39,39,U
10003907,xfc_150kW,-93.1,45.2,station_39,39,U
10003908,xfc_150kW,-93.1,45.2,station_39,39,U
10004201,xfc_150kW,-93.1,45.2,station_42,42,U
10004202,xfc_150kW,-93.1,45.2,station_42,42,U
10004203,xfc_150kW,-93.1,45.2,station_42,42,U
10004204,xfc_150kW,-93.1,45.2,station_42,42,U
