time_hrs,fossil_fuel,nuclear,solar
0,929.6795066,622,-1.960506642
0.08333333,920.5875066,622,-1.960506642
0.16666667,911.4955066,622,-1.960506642
0.25,902.4045066,622,-1.960506642
0.33333333,893.3125066,622,-1.960506642
0.41666667,884.2205066,622,-1.960506642
0.5,884.2205066,622,-1.960506642
0.58333333,876.9965066,622,-1.960506642
0.66666667,869.7735066,622,-1.960506642
0.75,862.5495066,622,-1.960506642
0.83333333,855.3255066,622,-1.960506642
0.91666667,848.1025066,622,-1.960506642
1,840.8785066,622,-1.960506642
1.08333333,833.6555066,622,-1.960506642
1.16666667,826.4315066,622,-1.960506642
1.25,819.2075066,622,-1.960506642
1.33333333,811.9845066,622,-1.960506642
1.41666667,804.7605066,622,-1.960506642
1.5,804.7605066,622,-1.960506642
1.58333333,800.1525066,622,-1.960506642
1.66666667,795.5445066,622,-1.960506642
1.75,790.9355066,622,-1.960506642
1.83333333,786.3275066,622,-1.960506642
1.91666667,781.7195066,622,-1.960506642
2,777.1115066,622,-1.960506642
2.08333333,772.5035066,622,-1.960506642
2.16666667,767.8955066,622,-1.960506642
2.25,763.2865066,622,-1.960506642
2.33333333,758.6785066,622,-1.960506642
2.41666667,754.0705066,622,-1.960506642
2.5,754.0705066,622,-1.960506642
2.58333333,753.9455066,622,-1.960506642
2.66666667,753.8215066,622,-1.960506642
2.75,753.6965066,622,-1.960506642
2.83333333,753.5725066,622,-1.960506642
2.91666667,753.4475066,622,-1.960506642
3,753.3235066,622,-1.960506642
3.08333333,753.1985066,622,-1.960506642
3.16666667,753.0745066,622,-1.960506642
3.25,752.9495066,622,-1.960506642
3.33333333,752.8255066,622,-1.960506642
3.41666667,752.7005066,622,-1.960506642
3.5,752.7005066,622,-1.960506642
3.58333333,757.6825066,622,-1.960506642
3.66666667,762.6645066,622,-1.960506642
3.75,767.6455066,622,-1.960506642
3.83333333,772.6275066,622,-1.960506642
3.91666667,777.6095066,622,-1.960506642
4,782.5915066,622,-1.960506642
4.08333333,787.5735066,622,-1.960506642
4.16666667,792.5555066,622,-1.960506642
4.25,797.5365066,622,-1.960506642
4.33333333,802.5185066,622,-1.960506642
4.41666667,807.5005066,622,-1.960506642
4.5,807.5005066,622,-1.960506642
4.58333333,812.3575066,622,-1.960506642
4.66666667,817.2155066,622,-1.960506642
4.75,822.0725066,622,-1.960506642
4.83333333,826.9295066,622,-1.960506642
4.91666667,831.7865066,622,-1.960506642
5,836.6445066,622,-1.960506642
5.08333333,841.5015066,622,-1.960506642
5.16666667,846.3585066,622,-1.960506642
5.25,851.2155066,622,-1.960506642
5.33333333,856.0735066,622,-1.960506642
5.41666667,860.9305066,622,-1.960506642
5.5,860.9305066,622,-1.960506642
5.58333333,869.5245066,622,-1.960506642
5.66666667,878.1175066,622,-1.960506642
5.75,886.7115066,622,-1.960506642
5.83333333,895.3055066,622,-1.960506642
5.91666667,903.8985066,622,-1.960506642
6,912.4925066,622,-1.960506642
6.08333333,920.4976508,622,-1.372650783
6.16666667,928.0935787,622,-0.374578731
6.25,935.1314839,622,1.181516073
6.33333333,941.6546546,622,3.251345414
6.41666667,947.2337327,622,6.266267266
6.5,943.2925445,622,10.2074555
6.58333333,949.7566279,622,15.20137207
6.66666667,955.029314,622,21.38668598
6.75,958.8215202,622,29.05347981
6.83333333,961.3009824,622,38.03201756
6.91666667,962.0504626,622,48.7405374
7,961.2171655,622,61.03183451
