simulation_time_hrs,base_load_kW,total_demand_kW,WORK,DESTINATION,HOME
12.0,1810.067511,0.0,0.0,0.0,0.0
12.016666666666667,1812.497206,0.0,0.0,0.0,0.0
12.033333333333333,1814.926926,0.0,0.0,0.0,0.0
12.05,1817.356626,0.0,0.0,0.0,0.0
12.066666666666666,1819.786207,0.0,0.0,0.0,0.0
12.083333333333334,1822.215628,0.0,0.0,0.0,0.0
12.1,1824.644884,0.0,0.0,0.0,0.0
12.116666666666667,1827.073971,0.0,0.0,0.0,0.0
12.133333333333333,1829.502886,0.0,0.0,0.0,0.0
12.15,1831.931628,0.0,0.0,0.0,0.0
12.166666666666666,1834.3602,0.0,0.0,0.0,0.0
12.183333333333334,1836.788599,0.0,0.0,0.0,0.0
12.2,1839.216811,0.0,0.0,0.0,0.0
12.216666666666667,1841.644799,0.0,0.0,0.0,0.0
12.233333333333333,1844.072543,0.0,0.0,0.0,0.0
12.25,1846.500016,0.0,0.0,0.0,0.0
12.266666666666667,1848.92715,0.0,0.0,0.0,0.0
12.283333333333333,1851.353919,0.0,0.0,0.0,0.0
12.3,1853.780302,0.0,0.0,0.0,0.0
12.316666666666666,1856.206264,0.0,0.0,0.0,0.0
12.333333333333334,1858.631789,0.0,0.0,0.0,0.0
12.35,1861.056874,0.0,0.0,0.0,0.0
12.366666666666667,1863.481515,0.0,0.0,0.0,0.0
12.383333333333333,1865.90571,0.0,0.0,0.0,0.0
12.4,1868.329462,0.0,0.0,0.0,0.0
12.416666666666666,1870.752768,0.0,0.0,0.0,0.0
12.433333333333334,1873.175631,0.0,0.0,0.0,0.0
12.45,1875.598051,0.0,0.0,0.0,0.0
12.466666666666667,1878.020038,0.0,0.0,0.0,0.0
12.483333333333333,1880.441593,0.0,0.0,0.0,0.0
12.5,1882.862724,0.0,0.0,0.0,0.0
12.516666666666667,1885.283442,0.0,0.0,0.0,0.0
12.533333333333333,1887.703756,0.0,0.0,0.0,0.0
12.55,1890.123667,0.0,0.0,0.0,0.0
12.566666666666666,1892.543184,0.0,0.0,0.0,0.0
12.583333333333334,1894.96231,0.0,0.0,0.0,0.0
12.6,1897.381042,0.0,0.0,0.0,0.0
